Channel_id,Channel_name,Subscribers,Views,Total_videos,Playlist_id
UCzd0MT-KhUK1OMk7Ac9DBBQ,The Rational Stoic,15300,633676,235,UUzd0MT-KhUK1OMk7Ac9DBBQ
UCaG7EroyixUjRKZF-FnVq4Q,Library of Thoth,73300,2878869,52,UUaG7EroyixUjRKZF-FnVq4Q
UCO5QSoES5yn2Dw7YixDYT5Q,Aperture,2410000,208078578,440,UUO5QSoES5yn2Dw7YixDYT5Q
UCfCAy6CkaliVqbwqKT2VSYw,SUCCESS CHASERS,834000,22155634,139,UUfCAy6CkaliVqbwqKT2VSYw
UCMPQUxRnbGwODoclug5QZiA,jim rohn legacy,56300,3378528,428,UUMPQUxRnbGwODoclug5QZiA
UCOpwnST30vJmriyEe1i1z-g,Feel Real Good,138000,4389499,43,UUOpwnST30vJmriyEe1i1z-g
UCAqdOqqhVM6PF9Kc_YjFdUg,Whispering ideas,33000,2221042,80,UUAqdOqqhVM6PF9Kc_YjFdUg
UC-6IQO6g1NuJiaS3uTId3oQ,Psyphoria,9950,237778,17,UU-6IQO6g1NuJiaS3uTId3oQ
UCgkD3J4uFcWJ0S0clSX9BFA,Evolving Mindset - Stoicism,15200,721285,127,UUgkD3J4uFcWJ0S0clSX9BFA
UC51pzLZON3TDUDHTt_UVLGA,Mirror of Soul,4360,215279,58,UU51pzLZON3TDUDHTt_UVLGA
